wav_path	per
G:\RP\timitsplit\unvoiced\dcl_MBGT0_SX171_66200_72800.wav	1.0
G:\RP\timitsplit\unvoiced\s_MDEF0_SX123_35968_42720.wav	0.0
G:\RP\timitsplit\unvoiced\s_MSAH1_SX149_46479_50400.wav	1.0
G:\RP\timitsplit\unvoiced\ax-h_s_kcl_k_MWRE0_SX337_28430_31578.wav	0.75
G:\RP\timitsplit\unvoiced\s_pcl_p_MBAR0_SX59_19840_23456.wav	0.0
G:\RP\timitsplit\unvoiced\kcl_MBJV0_SI617_46440_51280.wav	3.0
G:\RP\timitsplit\unvoiced\ax-h_s_MBMA1_SX324_58800_71520.wav	1.0
G:\RP\timitsplit\unvoiced\s_t_MDEF0_SX213_36090_41680.wav	0.5
G:\RP\timitsplit\unvoiced\ax-h_s_MJEE0_SI1867_33044_35718.wav	0.5
G:\RP\timitsplit\unvoiced\ax-h_s_MJMM0_SX265_2506_5054.wav	1.0
G:\RP\timitsplit\unvoiced\ax-h_s_MJMM0_SX445_6976_9157.wav	1.0
G:\RP\timitsplit\unvoiced\s_MPGR1_SI1269_22990_27680.wav	0.0
G:\RP\timitsplit\unvoiced\ax-h_s_MRKM0_SI1267_50133_52890.wav	0.5
G:\RP\timitsplit\unvoiced\ax-h_s_MSDH0_SX440_53036_59200.wav	1.0
G:\RP\timitsplit\unvoiced\ax-h_s_MTAS0_SX215_2411_4840.wav	0.5
G:\RP\timitsplit\unvoiced\ax-h_s_MTXS0_SI2320_8689_11760.wav	0.5
G:\RP\timitsplit\unvoiced\ax-h_s_pcl_p_FLMA0_SX73_18456_21880.wav	0.5
G:\RP\timitsplit\unvoiced\f_MCTM0_SX450_47384_51760.wav	2.0
G:\RP\timitsplit\unvoiced\ax-h_s_pcl_p_MDLC2_SX84_38883_42023.wav	0.25
G:\RP\timitsplit\unvoiced\t_s_FBLV0_SI1688_78230_83040.wav	1.0
G:\RP\timitsplit\unvoiced\s_FDFB0_SX58_45372_50320.wav	0.0
G:\RP\timitsplit\unvoiced\s_MKLW0_SX41_51316_55440.wav	2.0
G:\RP\timitsplit\unvoiced\kcl_k_s_t_FSRH0_SX221_38520_41691.wav	0.5
G:\RP\timitsplit\unvoiced\s_MGRP0_SI1317_27864_34046.wav	0.0
G:\RP\timitsplit\unvoiced\kcl_s_f_MMCC0_SI1338_34920_39812.wav	0.3333333333333333
G:\RP\timitsplit\unvoiced\ax-h_t_MRJM1_SI1298_1437_4762.wav	2.0
G:\RP\timitsplit\unvoiced\kcl_k_s_t_FBLV0_SX428_29907_33910.wav	0.25
G:\RP\timitsplit\unvoiced\kcl_k_s_t_FECD0_SX428_36520_40480.wav	0.25
G:\RP\timitsplit\unvoiced\kcl_k_s_t_FETB0_SX428_33720_37560.wav	0.25
G:\RP\timitsplit\unvoiced\kcl_s_t_MDEM0_SX428_37240_41176.wav	0.6666666666666666
G:\RP\timitsplit\unvoiced\bcl_ch_MKLN0_SX428_9023_12484.wav	1.0
G:\RP\timitsplit\unvoiced\kcl_k_s_t_MTPP0_SX428_29480_33260.wav	0.25
G:\RP\timitsplit\unvoiced\th_kcl_k_FAEM0_SI762_33000_36887.wav	0.3333333333333333
G:\RP\timitsplit\unvoiced\s_FAEM0_SX132_7040_8850.wav	1.0
G:\RP\timitsplit\unvoiced\s_t_FAEM0_SX312_54607_60240.wav	0.5
G:\RP\timitsplit\unvoiced\kcl_k_FAEM0_SX402_45800_50560.wav	1.0
G:\RP\timitsplit\unvoiced\s_t_FAEM0_SX42_27700_31040.wav	1.0
G:\RP\timitsplit\unvoiced\pcl_t_FAJW0_SI633_68203_72269.wav	0.5
G:\RP\timitsplit\unvoiced\pcl_FAJW0_SX273_39781_45200.wav	1.0
G:\RP\timitsplit\unvoiced\s_FAJW0_SX363_46120_53840.wav	3.0
G:\RP\timitsplit\unvoiced\s_t_q_FALK0_SI1086_29535_32584.wav	0.6666666666666666
G:\RP\timitsplit\unvoiced\f_t_FALK0_SX186_16360_18760.wav	1.0
G:\RP\timitsplit\unvoiced\pcl_p_FALK0_SX276_18631_20929.wav	1.0
G:\RP\timitsplit\unvoiced\s_FALR0_SI1325_46532_52080.wav	0.0
G:\RP\timitsplit\unvoiced\pcl_p_FALR0_SI1955_27560_29569.wav	1.0
G:\RP\timitsplit\unvoiced\s_FALR0_SI695_39573_45520.wav	0.0
G:\RP\timitsplit\unvoiced\f_FAPB0_SX343_3880_6730.wav	1.0
G:\RP\timitsplit\unvoiced\s_k_FBAS0_SI1387_19320_27030.wav	0.5
G:\RP\timitsplit\unvoiced\s_q_FBAS0_SI1472_50783_54835.wav	0.5
G:\RP\timitsplit\unvoiced\pcl_p_FBCG1_SX352_52760_54878.wav	1.0
G:\RP\timitsplit\unvoiced\s_FBCG1_SX442_12700_14630.wav	1.0
G:\RP\timitsplit\unvoiced\pcl_s_FBCG1_SX82_35320_41120.wav	0.5
G:\RP\timitsplit\unvoiced\t_FBCH0_SI956_42803_46800.wav	1.0
G:\RP\timitsplit\unvoiced\s_FBCH0_SI959_2071_4540.wav	1.0
G:\RP\timitsplit\unvoiced\pcl_p_FBJL0_SI922_41720_43980.wav	1.0
G:\RP\timitsplit\unvoiced\t_s_q_FBJL0_SX112_10234_13159.wav	0.6666666666666666
G:\RP\timitsplit\unvoiced\sh_FBJL0_SX382_37930_40660.wav	1.0
G:\RP\timitsplit\unvoiced\s_t_FBLV0_SI2318_8600_11110.wav	0.5
G:\RP\timitsplit\unvoiced\bcl_FBMH0_SI1766_28280_29400.wav	1.0
G:\RP\timitsplit\unvoiced\th_sh_FBMJ0_SI1776_59248_61867.wav	1.0
G:\RP\timitsplit\unvoiced\s_pcl_p_FBMJ0_SI516_16360_18970.wav	1.0
G:\RP\timitsplit\unvoiced\s_FBMJ0_SX246_19960_23000.wav	1.0
G:\RP\timitsplit\unvoiced\sh_f_FBMJ0_SX336_31240_34120.wav	0.5
G:\RP\timitsplit\unvoiced\dcl_t_FCAG0_SI2133_16280_17253.wav	1.0
G:\RP\timitsplit\unvoiced\s_FCAG0_SX243_18590_21060.wav	1.0
G:\RP\timitsplit\unvoiced\sh_FCAG0_SX333_56750_62160.wav	1.0
G:\RP\timitsplit\unvoiced\sh_t_FCAG0_SX423_41232_44365.wav	0.5
G:\RP\timitsplit\unvoiced\s_f_FCAJ0_SI849_17796_20428.wav	1.0
G:\RP\timitsplit\unvoiced\kcl_k_s_FCAJ0_SX309_43621_51098.wav	0.0
G:\RP\timitsplit\unvoiced\s_FCAJ0_SX399_4887_6934.wav	1.0
G:\RP\timitsplit\unvoiced\s_FCAJ0_SX39_14319_16441.wav	1.0
G:\RP\timitsplit\unvoiced\s_FCDR1_SI1186_80168_90215.wav	2.0
G:\RP\timitsplit\unvoiced\dcl_FCDR1_SI1816_52280_77040.wav	1.0
G:\RP\timitsplit\unvoiced\kcl_k_FCDR1_SX376_17378_19720.wav	1.0
G:\RP\timitsplit\unvoiced\s_t_FCEG0_SI1248_47800_50440.wav	0.5
G:\RP\timitsplit\unvoiced\kcl_s_t_FCEG0_SI618_22280_25454.wav	0.6666666666666666
G:\RP\timitsplit\unvoiced\kcl_k_FCEG0_SX168_9524_11404.wav	1.0
G:\RP\timitsplit\unvoiced\f_FCEG0_SX258_21556_23960.wav	1.0
G:\RP\timitsplit\unvoiced\s_kcl_k_FCEG0_SX348_9000_12440.wav	0.0
G:\RP\timitsplit\unvoiced\pcl_p_th_FCEG0_SX438_44647_47240.wav	1.0
G:\RP\timitsplit\unvoiced\s_kcl_k_FCEG0_SX78_9560_12114.wav	0.3333333333333333
G:\RP\timitsplit\unvoiced\th_FCJF0_SI1657_40864_45360.wav	1.0
G:\RP\timitsplit\unvoiced\s_FCJS0_SX347_13981_16375.wav	1.0
G:\RP\timitsplit\unvoiced\t_s_FCJS0_SX77_43000_47200.wav	0.5
G:\RP\timitsplit\unvoiced\s_hh_FCKE0_SI481_4360_10120.wav	0.5
G:\RP\timitsplit\unvoiced\s_pcl_p_FCKE0_SX121_4760_6760.wav	1.0
G:\RP\timitsplit\unvoiced\s_p_FCKE0_SX211_10680_14040.wav	0.5
G:\RP\timitsplit\unvoiced\s_ch_FCKE0_SX301_31880_35960.wav	0.5
G:\RP\timitsplit\unvoiced\bcl_FCKE0_SX31_20200_21280.wav	1.0
G:\RP\timitsplit\unvoiced\s_FCLT0_SI808_65543_70800.wav	0.0
G:\RP\timitsplit\unvoiced\s_t_FCLT0_SX88_8060_10220.wav	1.0
G:\RP\timitsplit\unvoiced\s_t_FCMG0_SI1142_63080_65973.wav	0.5
G:\RP\timitsplit\unvoiced\s_FCMG0_SX162_43951_54400.wav	1.0
G:\RP\timitsplit\unvoiced\kcl_ch_FCMG0_SX342_4680_7143.wav	1.0
G:\RP\timitsplit\unvoiced\pcl_k_FCMM0_SI1957_41560_45000.wav	0.0
G:\RP\timitsplit\unvoiced\pcl_FCMM0_SX273_33640_39760.wav	1.0
G:\RP\timitsplit\unvoiced\s_t_FCMM0_SX363_41000_46720.wav	0.5
G:\RP\timitsplit\unvoiced\dcl_FCMM0_SX420_57007_66320.wav	2.0
G:\RP\timitsplit\unvoiced\s_FCRZ0_SX343_21760_23770.wav	1.0
G:\RP\timitsplit\unvoiced\f_s_dcl_FCRZ0_SX73_6200_10040.wav	0.6666666666666666
G:\RP\timitsplit\unvoiced\s_kcl_k_FCYL0_SX349_7080_9969.wav	0.3333333333333333
G:\RP\timitsplit\unvoiced\kcl_k_s_pcl_p_FDAS1_SI1461_42880_46750.wav	0.4
G:\RP\timitsplit\unvoiced\kcl_k_s_bcl_FDAS1_SI831_17138_20190.wav	0.5
G:\RP\timitsplit\unvoiced\dcl_t_FDAW0_SI1271_23080_27260.wav	0.5
G:\RP\timitsplit\unvoiced\s_kcl_k_FDFB0_SI2010_11609_15360.wav	0.0
G:\RP\timitsplit\unvoiced\kcl_t_FDFB0_SX238_5880_8181.wav	1.0
G:\RP\timitsplit\unvoiced\s_FDFB0_SX418_40772_45920.wav	0.0
G:\RP\timitsplit\unvoiced\dcl_FDJH0_SI1565_18520_20280.wav	1.0
G:\RP\timitsplit\unvoiced\s_FDJH0_SX35_33880_40240.wav	0.0
G:\RP\timitsplit\unvoiced\kcl_k_FDKN0_SX271_5360_8210.wav	1.0
G:\RP\timitsplit\unvoiced\th_FDKN0_SX451_5008_7815.wav	1.0
G:\RP\timitsplit\unvoiced\s_pcl_p_FDML0_SI1149_4840_7560.wav	0.0
G:\RP\timitsplit\unvoiced\s_t_FDML0_SX429_11488_14760.wav	0.0
G:\RP\timitsplit\unvoiced\s_kcl_k_FDMY0_SI1197_30806_34760.wav	0.0
G:\RP\timitsplit\unvoiced\pcl_p_FDMY0_SX117_27765_30360.wav	1.0
G:\RP\timitsplit\unvoiced\s_FDMY0_SX207_16440_19476.wav	1.0
G:\RP\timitsplit\unvoiced\t_s_FDNC0_SX108_37880_40760.wav	1.0
G:\RP\timitsplit\unvoiced\sh_q_FDNC0_SX288_41880_45400.wav	0.5
G:\RP\timitsplit\unvoiced\s_pcl_p_FDTD0_SX121_6920_9460.wav	0.6666666666666666
G:\RP\timitsplit\unvoiced\s_t_pcl_p_FDTD0_SX211_12040_17080.wav	0.5
G:\RP\timitsplit\unvoiced\t_FDXW0_SI2141_18507_21840.wav	2.0
G:\RP\timitsplit\unvoiced\s_FDXW0_SI881_36680_39144.wav	0.0
G:\RP\timitsplit\unvoiced\s_t_FDXW0_SX161_39570_42970.wav	1.0
G:\RP\timitsplit\unvoiced\s_ax-h_kcl_k_FDXW0_SX341_5740_9390.wav	0.5
G:\RP\timitsplit\unvoiced\th_dcl_FDXW0_SX431_5800_8790.wav	1.0
G:\RP\timitsplit\unvoiced\s_FDXW0_SX71_28350_32720.wav	1.0
G:\RP\timitsplit\unvoiced\kcl_k_t_q_FEAC0_SI1245_8680_13061.wav	0.75
G:\RP\timitsplit\unvoiced\s_FEAC0_SI1875_43709_52080.wav	0.0
G:\RP\timitsplit\unvoiced\pcl_p_FEAC0_SI615_18297_21320.wav	1.0
G:\RP\timitsplit\unvoiced\th_hh_FEAC0_SX255_26782_28440.wav	1.0
G:\RP\timitsplit\unvoiced\s_t_FEAC0_SX435_42680_45960.wav	0.5
G:\RP\timitsplit\unvoiced\t_FEAR0_SX172_4520_6443.wav	1.0
G:\RP\timitsplit\unvoiced\pcl_p_FEAR0_SX352_29800_32920.wav	1.5
G:\RP\timitsplit\unvoiced\bcl_hh_FEAR0_SX442_42964_45878.wav	1.0
G:\RP\timitsplit\unvoiced\pcl_p_s_FEAR0_SX82_39960_46880.wav	0.0
G:\RP\timitsplit\unvoiced\s_pcl_p_FECD0_SI1418_15400_18651.wav	0.6666666666666666
G:\RP\timitsplit\unvoiced\t_s_FECD0_SI788_44560_52120.wav	1.0
G:\RP\timitsplit\unvoiced\pcl_t_FEEH0_SI1742_10440_13400.wav	1.0
G:\RP\timitsplit\unvoiced\f_ax-h_q_FEEH0_SX302_5960_10520.wav	1.0
G:\RP\timitsplit\unvoiced\dcl_s_FEME0_SI1505_15080_18060.wav	1.0
G:\RP\timitsplit\unvoiced\s_FETB0_SI518_50680_55680.wav	0.0
G:\RP\timitsplit\unvoiced\f_FGCS0_SI1486_3090_5123.wav	1.0
G:\RP\timitsplit\unvoiced\s_FGCS0_SI856_33336_39527.wav	0.0
G:\RP\timitsplit\unvoiced\gcl_t_FGCS0_SX406_36051_38591.wav	0.5
G:\RP\timitsplit\unvoiced\t_FGDP0_SI988_42380_47500.wav	2.0
G:\RP\timitsplit\unvoiced\kcl_t_ax-h_kcl_k_FGDP0_SX88_34520_38600.wav	0.6
G:\RP\timitsplit\unvoiced\s_pcl_p_FGMB0_SI1775_19720_22934.wav	0.3333333333333333
G:\RP\timitsplit\unvoiced\s_FGMB0_SI515_37347_39603.wav	1.0
G:\RP\timitsplit\unvoiced\q_FGRW0_SX162_18466_19928.wav	1.0
G:\RP\timitsplit\unvoiced\kcl_ch_FGRW0_SX342_6360_8760.wav	0.5
G:\RP\timitsplit\unvoiced\kcl_k_FHLM0_SI2190_11363_13810.wav	0.0
G:\RP\timitsplit\unvoiced\kcl_sh_FHLM0_SI930_37640_40288.wav	0.5
G:\RP\timitsplit\unvoiced\s_ch_FHLM0_SX300_10610_16180.wav	1.0
G:\RP\timitsplit\unvoiced\s_kcl_k_FHLM0_SX349_7480_10660.wav	0.0
G:\RP\timitsplit\unvoiced\kcl_k_FHXS0_SI1075_42935_45230.wav	0.5
G:\RP\timitsplit\unvoiced\kcl_k_s_FHXS0_SX175_63240_75280.wav	0.0
G:\RP\timitsplit\unvoiced\dcl_FHXS0_SX265_40440_44480.wav	1.0
G:\RP\timitsplit\unvoiced\dcl_FHXS0_SX445_33963_36480.wav	1.0
G:\RP\timitsplit\unvoiced\s_FHXS0_SX85_38108_45760.wav	0.0
G:\RP\timitsplit\unvoiced\sh_FJDM2_SI1582_25128_27211.wav	1.0
G:\RP\timitsplit\unvoiced\bcl_FJDM2_SX232_58121_63440.wav	4.0
G:\RP\timitsplit\unvoiced\f_t_FJDM2_SX322_35468_46400.wav	2.0
G:\RP\timitsplit\unvoiced\ch_t_FJDM2_SX412_34374_36716.wav	1.0
G:\RP\timitsplit\unvoiced\s_FJEN0_SI2307_9650_12350.wav	1.0
G:\RP\timitsplit\unvoiced\s_FJEN0_SX327_78120_83040.wav	1.0
G:\RP\timitsplit\unvoiced\s_t_kcl_k_FJEN0_SX417_46121_51155.wav	0.25
G:\RP\timitsplit\unvoiced\k_FJHK0_SI1652_4150_5380.wav	1.0
G:\RP\timitsplit\unvoiced\kcl_k_FJHK0_SI2282_44394_47062.wav	1.0
G:\RP\timitsplit\unvoiced\s_s_FJHK0_SX302_22760_27141.wav	1.0
G:\RP\timitsplit\unvoiced\th_dcl_FJKL0_SI1562_9961_11830.wav	1.0
G:\RP\timitsplit\unvoiced\s_FJKL0_SX302_26120_28860.wav	1.0
G:\RP\timitsplit\unvoiced\p_t_f_FJLG0_SI1889_17237_21320.wav	1.0
G:\RP\timitsplit\unvoiced\s_FJLG0_SX359_21556_24104.wav	1.0
G:\RP\timitsplit\unvoiced\s_FJLR0_SX151_47508_52880.wav	0.0
G:\RP\timitsplit\unvoiced\hh_FJLR0_SX241_26760_28680.wav	1.0
G:\RP\timitsplit\unvoiced\dcl_t_ax-h_ch_FJLR0_SX331_19300_24062.wav	1.0
G:\RP\timitsplit\unvoiced\sh_ch_FJLR0_SX421_34120_38920.wav	0.5
G:\RP\timitsplit\unvoiced\dcl_FJRB0_SX132_36276_39600.wav	1.0
G:\RP\timitsplit\unvoiced\s_t_FJRB0_SX312_54609_64239.wav	1.0
G:\RP\timitsplit\unvoiced\kcl_k_FJRB0_SX402_39398_72240.wav	4.0
G:\RP\timitsplit\unvoiced\s_kcl_k_FJRB0_SX42_8551_11288.wav	0.0
G:\RP\timitsplit\unvoiced\f_FJRP1_SX172_11960_13368.wav	1.0
G:\RP\timitsplit\unvoiced\s_FJRP1_SX352_65545_68150.wav	0.0
G:\RP\timitsplit\unvoiced\t_FJRP1_SX442_52070_55120.wav	2.0
G:\RP\timitsplit\unvoiced\pcl_p_s_FJRP1_SX82_48095_55706.wav	0.6666666666666666
G:\RP\timitsplit\unvoiced\sh_FJSK0_SI1682_2750_4597.wav	1.0
G:\RP\timitsplit\unvoiced\kcl_k_s_t_FJSK0_SX332_47160_54160.wav	0.25
G:\RP\timitsplit\unvoiced\dcl_FJSK0_SX62_40200_43520.wav	1.0
G:\RP\timitsplit\unvoiced\s_pcl_p_FJSP0_SI1434_29950_32700.wav	0.6666666666666666
G:\RP\timitsplit\unvoiced\f_FJSP0_SX264_38120_46080.wav	2.0
G:\RP\timitsplit\unvoiced\s_t_FJWB1_SI748_59715_64005.wav	0.5
G:\RP\timitsplit\unvoiced\q_kcl_k_FJWB1_SX255_24313_27150.wav	0.6666666666666666
G:\RP\timitsplit\unvoiced\sh_FJWB1_SX435_43240_46120.wav	1.0
G:\RP\timitsplit\unvoiced\s_FJXM0_SI1211_11446_14120.wav	1.0
G:\RP\timitsplit\unvoiced\t_FJXM0_SX131_39960_42480.wav	1.0
G:\RP\timitsplit\unvoiced\kcl_FJXM0_SX311_72280_76560.wav	2.0
G:\RP\timitsplit\unvoiced\s_t_t_FJXM0_SX401_36920_42360.wav	1.3333333333333333
G:\RP\timitsplit\unvoiced\dcl_FJXP0_SX132_35960_38800.wav	1.0
G:\RP\timitsplit\unvoiced\s_t_FJXP0_SX312_51560_56960.wav	0.5
G:\RP\timitsplit\unvoiced\kcl_k_FJXP0_SX402_40760_47600.wav	1.0
G:\RP\timitsplit\unvoiced\s_kcl_k_FJXP0_SX42_7000_9880.wav	1.0
G:\RP\timitsplit\unvoiced\s_FKDE0_SI1141_70120_75440.wav	0.0
G:\RP\timitsplit\unvoiced\t_s_FKDE0_SX151_44920_49760.wav	0.5
G:\RP\timitsplit\unvoiced\pcl_p_FKDE0_SX241_13800_15331.wav	1.0
G:\RP\timitsplit\unvoiced\ch_FKDE0_SX331_20302_22266.wav	1.0
G:\RP\timitsplit\unvoiced\sh_ch_FKDE0_SX421_34422_38809.wav	1.5
